id,text,is_ambiguous,ambiguity_type,ambiguous_words,source
1,The system should be user-friendly.,True,vague_term,user-friendly,
2,The system shall respond within 200 milliseconds.,False,none,,
3,The system should handle large amounts of data efficiently.,True,vague_term,"large, efficiently",
4,The system shall encrypt all passwords using AES-256 before storage.,False,none,,
5,It should process the request properly.,True,pronoun,"it, properly",
6,The system shall allow users to upload files in PDF format up to 10MB.,False,none,,
7,The application should be fast enough for real-time use.,True,vague_term,"fast enough, real-time",
8,The system shall send an email notification when an order is placed.,False,none,,
9,Several modules should be updated regularly.,True,quantifier,"several, regularly",
10,The system shall generate a PDF report containing all transactions from the selected date range.,False,none,,
11,The interface should be intuitive for all users.,True,vague_term,intuitive,
12,The system shall store a maximum of 500 records per user account.,False,none,,
13,The system should be easy to maintain.,True,vague_term,easy,
14,The login page shall load in under 500 milliseconds on a 4G connection.,False,none,,
15,Some users may need additional permissions.,True,quantifier,"some, additional",
16,The system shall validate email addresses using RFC 5322 format.,False,none,,
17,The application needs to be accessible.,True,vague_term,accessible,
18,Error messages shall display the error code and a description not exceeding 200 characters.,False,none,,
19,The system should perform well under high load.,True,vague_term,"well, high load",
20,The database shall back up automatically every 24 hours to an offsite location.,False,none,,
21,They should be able to access the data.,True,pronoun,"they, the data",
22,"The system shall support exactly 3 user roles: admin, editor, and viewer.",False,none,,
23,The software must be robust and reliable.,True,vague_term,"robust, reliable",
24,The API shall return HTTP 429 status code when rate limit of 100 requests per minute is exceeded.,False,none,,
25,The system should work on most devices.,True,quantifier,most,
26,The system shall authenticate users via OAuth 2.0 with Google and GitHub providers.,False,none,,
27,The response should be adequate for the task.,True,vague_term,adequate,
28,"Audit logs shall retain entries for 90 days and include timestamp, user ID, and action performed.",False,none,,
29,The platform should handle a reasonable number of requests.,True,quantifier,reasonable number,
30,The system shall paginate search results showing 20 items per page.,False,none,,
31,The system must ensure an appropriate level of security.,True,vague_term,appropriate,
32,The system shall reject passwords shorter than 12 characters.,False,none,,
33,The component should interact with other parts of the system seamlessly.,True,vague_term,"seamlessly, other parts",
34,Session tokens shall expire after 30 minutes of inactivity.,False,none,,
35,The tool should be flexible enough to adapt to changes.,True,vague_term,flexible enough,
36,The checkout process shall complete in no more than 5 steps.,False,none,,
37,Various stakeholders need access to the reports.,True,quantifier,various,
38,The system shall compress uploaded images to JPEG quality 80 before storage.,False,none,,
39,The UI should look nice on different screen sizes.,True,vague_term,"nice, different",
40,The system shall support import and export of data in CSV and JSON formats.,False,none,,
41,The system should minimize resource usage.,True,vague_term,minimize,
42,The API shall limit response payload size to 5MB per request.,False,none,,
43,This should work correctly with the previous module.,True,pronoun,"this, previous module",
44,The system shall display a loading indicator for any operation taking more than 1 second.,False,none,,
45,The application should have good performance.,True,vague_term,good,
46,File uploads shall be scanned for malware using ClamAV before acceptance.,False,none,,
47,The system should support a few popular browsers.,True,quantifier,"a few, popular",
48,The system shall enforce two-factor authentication for all admin accounts.,False,none,,
49,The new feature should be consistent with the existing ones.,True,vague_term,consistent,
50,The search function shall return results within 500 milliseconds for queries up to 100 characters.,False,none,,
51,All material that is stored in the repository will enter it via the Ingest function.,True,referential,,ReqEval_NLP4RE_2020
52,The Library may want to accept important digital materials in non-standard formats in case we are able to migrate them to a more usable format in the future.,True,referential,,ReqEval_NLP4RE_2020
53,The Library may want to accept important digital materials in non-standard formats in case we are able to migrate them to a more usable format in the future.,False,none,,ReqEval_NLP4RE_2020
54,"Once material has arrived, it must undergo several reviews, including virus checking, format compliance and anticipated content and file type.",False,none,,ReqEval_NLP4RE_2020
55,Allows resources to be reviewed before a decision is made whether they should be retained.,False,none,,ReqEval_NLP4RE_2020
56,Allows metadata to be stored in a database in a manner that conforms to repository reformatting and linked to their corresponding objects via an identifier.,False,none,,ReqEval_NLP4RE_2020
57,The Coordinate Updates function also incorporates the storage identification information into the Descriptive Information for the AIP and transfers it to the Data Management entity along with a database update request.,True,referential,,ReqEval_NLP4RE_2020
58,"Archival Storage functions include receiving AIPs from Ingest and adding them to permanent storage, managing the storage hierarchy, refreshing the media on which archive holdings are stored, performing routine and special error checking, providing disaster recovery capabilities, and providing AIPs to Access to fulfill orders.",False,none,,ReqEval_NLP4RE_2020
59,"It will also conform to any special levels of service required for the AIP, or any special security measures that are required, and ensures the appropriate level of protection for the AIP.",True,referential,,ReqEval_NLP4RE_2020
60,It monitors error logs to ensure AIPs are not corrupted during transfers.,True,referential,,ReqEval_NLP4RE_2020
61,"However, the data constituting the Packaging Information may be changed as long as it continues to perform the same function and there is a straightforward implementation that does not cause information loss.",True,referential,,ReqEval_NLP4RE_2020
62,"The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, their performance, and their costs of ownership.",False,none,,ReqEval_NLP4RE_2020
63,This function receives an AIP request that identifies the requested AIP(s) and provides them on the requested media type or transfers them to a staging area.,False,none,,ReqEval_NLP4RE_2020
64,"The Generate Report function receives a report request from Ingest, Access or Administration and executes any queries or other processes necessary to generate the report that it supplies to the requester.",True,referential,,ReqEval_NLP4RE_2020
65,It may also receive a report request from Access and provides descriptive information for a specific AIP.,True,referential,,ReqEval_NLP4RE_2020
66,"Administration functions include soliciting and negotiating submission agreements with producers, auditing submissions to ensure that they meet archive standards, and maintaining configuration management of system hardware and software.",True,referential,,ReqEval_NLP4RE_2020
67,Audits data in SIPs or AIPs to ensure that they meet specified requirements.,True,referential,,ReqEval_NLP4RE_2020
68,The Activate Requests function maintains a record of event-driven requests and periodically compares it to the contents of the archive to determine if all needed data is available.,True,referential,,ReqEval_NLP4RE_2020
69,Maintains a record of event-driven events and compares it to the contents of the repository.,False,none,,ReqEval_NLP4RE_2020
70,The Monitor Designated Community function interacts with archive Consumers and Producers to track changes in their service requirements and available product technologies.,False,none,,ReqEval_NLP4RE_2020
71,Interacts with repository users and content providers to track changes in their service requirements and available product technologies.,True,referential,,ReqEval_NLP4RE_2020
72,"This function receives reports from the Monitor Designated Communities and Monitor Technology functions, and it receives performance information, inventory reports and summarized consumer comments from Administration.",False,none,,ReqEval_NLP4RE_2020
73,This function also receives external data standards from Monitor Technology and produces profiles of those standards that are sent to Administration as proposals on their potential usage.,True,referential,,ReqEval_NLP4RE_2020
74,Produces profiles of those standards that are sent to Administration as proposals on their potential usage.,True,referential,,ReqEval_NLP4RE_2020
75,The NLM will test preservation actions in order to determine their effectiveness across a range of digital objects.,True,referential,,ReqEval_NLP4RE_2020
76,"The NLM System Administration/Programming Access, ultimate rights to the system, required for its management, development, and for assigning appropriate rights to users.",True,referential,,ReqEval_NLP4RE_2020
77,The Clarus system shall process data as they are received.,False,none,,ReqEval_NLP4RE_2020
78,The Clarus system shall be able to base its quality control process on values from multiple observations.,False,none,,ReqEval_NLP4RE_2020
79,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,False,none,,ReqEval_NLP4RE_2020
80,The Clarus system shall be able to collect data from sources within 5 minutes of them becoming available.,True,referential,,ReqEval_NLP4RE_2020
81,The CAS shall be configurable to allow new observation types to be implemented as they become available.,False,none,,ReqEval_NLP4RE_2020
82,The CS shall collect environmental data based on its configured schedule.,True,referential,,ReqEval_NLP4RE_2020
83,The CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,False,none,,ReqEval_NLP4RE_2020
84,The CS shall process environmental data as they are received.,False,none,,ReqEval_NLP4RE_2020
85,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,True,referential,,ReqEval_NLP4RE_2020
86,The CS shall be able to accept data from an RWIS database in its native output format.,True,referential,,ReqEval_NLP4RE_2020
87,The Clarus system shall be able to communicate with an individual ESS through its native interface.,True,referential,,ReqEval_NLP4RE_2020
88,The DOG shall be able to monitor new environmental data services as they are added.,False,none,,ReqEval_NLP4RE_2020
89,The DOG shall be able to record its activities.,False,none,,ReqEval_NLP4RE_2020
90,The QEDC shall maintain observations and their associated quality flags for seven days.,False,none,,ReqEval_NLP4RE_2020
91,The QEDC shall support queries for its observations.,False,none,,ReqEval_NLP4RE_2020
92,The QEDS shall log their activities.,True,referential,,ReqEval_NLP4RE_2020
93,The QChS shall be able to base its quality checking process on values distributed in time.,False,none,,ReqEval_NLP4RE_2020
94,The contributors shall define the units of measurements of their shared data and information.,False,none,,ReqEval_NLP4RE_2020
95,The Clarus program shall determine how it will provide data and information to contributors.,False,none,,ReqEval_NLP4RE_2020
96,"The Clarus program shall inform contributors of the acceptance and use"" of their data and information.""",False,none,,ReqEval_NLP4RE_2020
97,The logon screen shall activate command control for the user if the user requests it and has authorization.,False,none,,ReqEval_NLP4RE_2020
98,"When a device status has been overridden, on the screen it shall appear with different color from the normal and alarm status colors.",False,none,,ReqEval_NLP4RE_2020
99,It shall display and allow modification of all database tables with the exception of log tables.,True,referential,,ReqEval_NLP4RE_2020
100,"The user should not be able to update log entries other than for their own login, for the current day and current shift.",True,referential,,ReqEval_NLP4RE_2020
101,Any change in device state shall be reported on the screen not later than 2 seconds from the time it occurs.,False,none,,ReqEval_NLP4RE_2020
102,"When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its associated device sensors.",True,referential,,ReqEval_NLP4RE_2020
103,"When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its associated device sensors.",True,referential,,ReqEval_NLP4RE_2020
104,The RLCS software shall initialize each control unit and device sensor as it is identified.,True,referential,,ReqEval_NLP4RE_2020
105,The devices can be manually controlled/operated from their cabinets (e.g.: Gates).,False,none,,ReqEval_NLP4RE_2020
106,"The normal operating mode is Monday through Friday, between 5:00am and 8:00pm, but the system must be functional in order to stay in its closed state after hours.",False,none,,ReqEval_NLP4RE_2020
107,The ETCS shall provide the driver with information to allow him to drive the train safely.,False,none,,ReqEval_NLP4RE_2020
108,If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,True,referential,,ReqEval_NLP4RE_2020
109,If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,True,referential,,ReqEval_NLP4RE_2020
110,It shall be possible to implement one or more of the ETCS application levels on a line.,False,none,,ReqEval_NLP4RE_2020
111,The ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.,False,none,,ReqEval_NLP4RE_2020
