id,text,is_complete,missing_elements
1,The system shall allow users to login with username and password. Invalid credentials shall display an error message. After 3 failed attempts the account shall be locked for 15 minutes.,True,
2,The system shall process payments.,False,"error_handling, boundary_conditions, acceptance_criteria"
3,Users shall be able to upload files up to 10MB in PDF or DOCX format. Files exceeding the size limit shall display an error. The upload requires the user to be authenticated.,True,
4,The system should send notifications.,False,"boundary_conditions, acceptance_criteria, preconditions"
5,"The system shall generate a monthly sales report in PDF format containing total revenue, number of orders, and top 10 products. Reports are available to users with the manager role.",True,
6,The system shall delete user accounts.,False,"error_handling, acceptance_criteria, preconditions"
7,"The search function shall return results within 500ms for queries up to 100 characters, displaying 20 results per page with title, date, and relevance score. Empty results shall show a suggestion message.",True,
8,The system shall export data to CSV.,False,"boundary_conditions, error_handling"
9,"The system shall allow admins to create user accounts by providing email, name, and role. Duplicate emails shall return an error. The admin must be authenticated and have the admin role.",True,
10,Users can update their profile.,False,"error_handling, boundary_conditions, acceptance_criteria"
11,The password reset flow shall send a token via email valid for 60 minutes. Expired tokens shall display an error with a link to request a new one. The user must have a verified email.,True,
12,The system shall handle user registrations.,False,"error_handling, boundary_conditions, acceptance_criteria"
13,The shopping cart shall support up to 50 items. Adding beyond the limit shall show a warning. Cart contents shall persist for 7 days. Guest users must create an account to checkout.,True,
14,The system shall integrate with an external API.,False,"error_handling, boundary_conditions, preconditions"
15,The system shall resize uploaded images to a maximum of 1920x1080 pixels while maintaining aspect ratio. Unsupported formats shall return HTTP 415. Only authenticated users can upload.,True,
16,The system shall validate input data.,False,"boundary_conditions, acceptance_criteria"
17,"The audit log shall record all admin actions including timestamp, user ID, action type, and affected resource. Logs shall be retained for 365 days and be exportable in JSON format.",True,
18,The system shall manage user sessions.,False,"boundary_conditions, acceptance_criteria, error_handling"
19,The notification system shall deliver push notifications within 5 seconds. Failed deliveries shall retry up to 3 times with exponential backoff. Users must have notifications enabled in settings.,True,
20,The dashboard should display analytics.,False,"acceptance_criteria, boundary_conditions"
21,The system shall compress images to JPEG quality 80 for files over 2MB. Original files shall be preserved. Compression errors shall log the error and serve the original. Requires storage quota available.,True,
22,The system shall perform data backups.,False,"boundary_conditions, acceptance_criteria, error_handling"
23,Rate limiting shall allow 100 API requests per minute per authenticated user. Exceeding the limit shall return HTTP 429 with a Retry-After header in seconds.,True,
24,The system shall synchronize data across devices.,False,"error_handling, boundary_conditions, preconditions"
25,The two-factor authentication shall support TOTP with 30-second validity. Invalid codes shall allow up to 5 retries before temporary lockout of 10 minutes. Requires user to have 2FA enabled.,True,
26,The system shall manage inventory.,False,"error_handling, boundary_conditions, acceptance_criteria"
27,Email notifications shall be sent using SMTP over TLS. Failed sends shall retry 3 times at 5-minute intervals then alert the admin. Requires valid SMTP configuration in system settings.,True,
28,The system should allow file sharing.,False,"boundary_conditions, acceptance_criteria, preconditions"
29,"The autocomplete search shall suggest up to 10 results after 3 characters are typed, within 200ms. Suggestions are based on the user's search history and popular queries.",True,
30,The system shall support multiple languages.,False,"boundary_conditions, acceptance_criteria"
31,CSV export shall include all columns from the current view with headers. Files over 10000 rows shall be split into multiple files. Export requires the data-export permission.,True,
32,The system shall calculate discounts.,False,"boundary_conditions, error_handling, preconditions"
33,User avatar upload shall accept JPEG and PNG files between 10KB and 5MB at minimum 200x200 pixels. Invalid files shall display specific error messages. Requires authenticated session.,True,
34,The system shall log errors.,False,"boundary_conditions, acceptance_criteria"
35,"The system shall allow scheduling of reports for daily, weekly, or monthly delivery via email. Schedules can be modified or cancelled. Invalid cron expressions shall show a validation error.",True,
36,Users should be able to leave comments.,False,"boundary_conditions, error_handling, acceptance_criteria"
37,The SSO integration shall support SAML 2.0 with configurable identity providers. Failed authentication shall redirect to an error page with code. Requires admin to configure the IdP metadata.,True,
38,The system shall archive old records.,False,"boundary_conditions, acceptance_criteria, preconditions"
39,"The checkout shall validate credit card numbers using Luhn algorithm, support Visa/Mastercard/Amex, and display specific error messages for invalid number, expired card, or insufficient funds.",True,
40,The system should track user activity.,False,"boundary_conditions, acceptance_criteria, error_handling"
41,Data import shall accept CSV files up to 50MB with UTF-8 encoding. Malformed rows shall be skipped and reported in a summary. Import requires the data-admin role.,True,
42,The system shall generate invoices.,False,"boundary_conditions, error_handling, acceptance_criteria"
43,The dashboard shall refresh data every 60 seconds via WebSocket. Connection loss shall show a warning banner and attempt reconnection every 10 seconds. Requires authenticated session.,True,
44,The system shall manage permissions.,False,"boundary_conditions, error_handling, acceptance_criteria"
45,"The API versioning shall use URL path prefix (v1, v2). Deprecated versions shall return a Sunset header with deprecation date. Minimum 6-month support after deprecation announcement.",True,
46,The system should provide search functionality.,False,"boundary_conditions, acceptance_criteria, error_handling"
47,The GDPR data export shall compile all user data into a ZIP file within 48 hours of request. The download link shall be valid for 7 days. Requires identity verification via email confirmation.,True,
48,The system shall support file versioning.,False,"boundary_conditions, acceptance_criteria, error_handling"
49,"The health check endpoint shall return HTTP 200 with JSON status of database, cache, and external API connectivity. Response time over 5 seconds shall return HTTP 503.",True,
50,The system shall process refunds.,False,"error_handling, boundary_conditions, preconditions"
51,All SIM cards used in EIRENE mobiles shall comply with the requirements of the MORANE FFFIS for GSM-R SIM Cards [MORANE SIM]. (M),True,
52,7.4.4.1 A visual and audible alarm shall be given when the remaining capacity of the battery is such as to enable only 10 minutes of full duplex call time. (M),True,
53,It shall be possible to configure Railway emergency group call areas to contain combinations of cells controlled by one or more MSC(s) within one or more network(s). (M),True,
54,"6.2.2.9 If the call is a broadcast call, the user shall be informed that he cannot speak as part of the broadcast call. (M)",True,
