id,text,is_ambiguous,ambiguity_type,ambiguous_words
1,"The system should be user-friendly.",True,vague_term,"user-friendly"
2,"The system shall respond within 200 milliseconds.",False,none,""
3,"The system should handle large amounts of data efficiently.",True,vague_term,"large, efficiently"
4,"The system shall encrypt all passwords using AES-256 before storage.",False,none,""
5,"It should process the request properly.",True,pronoun,"it, properly"
6,"The system shall allow users to upload files in PDF format up to 10MB.",False,none,""
7,"The application should be fast enough for real-time use.",True,vague_term,"fast enough, real-time"
8,"The system shall send an email notification when an order is placed.",False,none,""
9,"Several modules should be updated regularly.",True,quantifier,"several, regularly"
10,"The system shall generate a PDF report containing all transactions from the selected date range.",False,none,""
11,"The interface should be intuitive for all users.",True,vague_term,"intuitive"
12,"The system shall store a maximum of 500 records per user account.",False,none,""
13,"The system should be easy to maintain.",True,vague_term,"easy"
14,"The login page shall load in under 500 milliseconds on a 4G connection.",False,none,""
15,"Some users may need additional permissions.",True,quantifier,"some, additional"
16,"The system shall validate email addresses using RFC 5322 format.",False,none,""
17,"The application needs to be accessible.",True,vague_term,"accessible"
18,"Error messages shall display the error code and a description not exceeding 200 characters.",False,none,""
19,"The system should perform well under high load.",True,vague_term,"well, high load"
20,"The database shall back up automatically every 24 hours to an offsite location.",False,none,""
21,"They should be able to access the data.",True,pronoun,"they, the data"
22,"The system shall support exactly 3 user roles: admin, editor, and viewer.",False,none,""
23,"The software must be robust and reliable.",True,vague_term,"robust, reliable"
24,"The API shall return HTTP 429 status code when rate limit of 100 requests per minute is exceeded.",False,none,""
25,"The system should work on most devices.",True,quantifier,"most"
26,"The system shall authenticate users via OAuth 2.0 with Google and GitHub providers.",False,none,""
27,"The response should be adequate for the task.",True,vague_term,"adequate"
28,"Audit logs shall retain entries for 90 days and include timestamp, user ID, and action performed.",False,none,""
29,"The platform should handle a reasonable number of requests.",True,quantifier,"reasonable number"
30,"The system shall paginate search results showing 20 items per page.",False,none,""
31,"The system must ensure an appropriate level of security.",True,vague_term,"appropriate"
32,"The system shall reject passwords shorter than 12 characters.",False,none,""
33,"The component should interact with other parts of the system seamlessly.",True,vague_term,"seamlessly, other parts"
34,"Session tokens shall expire after 30 minutes of inactivity.",False,none,""
35,"The tool should be flexible enough to adapt to changes.",True,vague_term,"flexible enough"
36,"The checkout process shall complete in no more than 5 steps.",False,none,""
37,"Various stakeholders need access to the reports.",True,quantifier,"various"
38,"The system shall compress uploaded images to JPEG quality 80 before storage.",False,none,""
39,"The UI should look nice on different screen sizes.",True,vague_term,"nice, different"
40,"The system shall support import and export of data in CSV and JSON formats.",False,none,""
41,"The system should minimize resource usage.",True,vague_term,"minimize"
42,"The API shall limit response payload size to 5MB per request.",False,none,""
43,"This should work correctly with the previous module.",True,pronoun,"this, previous module"
44,"The system shall display a loading indicator for any operation taking more than 1 second.",False,none,""
45,"The application should have good performance.",True,vague_term,"good"
46,"File uploads shall be scanned for malware using ClamAV before acceptance.",False,none,""
47,"The system should support a few popular browsers.",True,quantifier,"a few, popular"
48,"The system shall enforce two-factor authentication for all admin accounts.",False,none,""
49,"The new feature should be consistent with the existing ones.",True,vague_term,"consistent"
50,"The search function shall return results within 500 milliseconds for queries up to 100 characters.",False,none,""
