id,source,text
1,0000 - cctns,FUNCTIONAL REQUIREMENTS SPECIFICATION V1.0 (DRAFT)
2,0000 - cctns,The Functional Requirements Specifications (FRS) report provides the detailed description of the functionalities required for the first version of the CCTNS. The key guiding principle behind the functional design of CCTNS V1.0 is to focus on the critical functionality that provides value to the police personnel at the cutting edge which in turn can improve the outcomes in the areas of “Investigation of Crime” and “Detection of Criminals”.
3,0000 - cctns,DESCRIPTION OF THE MODULES AND FUNCTIONAL REQUIREMENTS
4,0000 - cctns,"Citizens can register their complaints with police and then based on the evidence, facts and following investigation, police shall take the complaint forward. The Registration module acts as an interface between the police and citizens and it eases the approach, interaction and information exchange between police and complainants."
5,0000 - cctns,"The Configuration module of the CCTNS helps keep the application configured according to the states’ requirements in addition to keeping data elements/rules up to date. With a proper configuration, information such as act and sections, state specific data, castes, tribes, property information etc. can be created updated and deleted.         The functional requirements for each of the modules are provided as A1 to A7 in separate enclosures."
6,0000 - cctns,NON-FUNCTIONAL REQUIREMENTS
7,0000 - cctns,The non-functional requirements specify the qualitative attributes such as user-friendliness and performance of the system that are critical for the increased user-acceptance of the application.
8,0000 - cctns,The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.
9,0000 - cctns,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.
10,0000 - cctns,"The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert."
11,0000 - cctns,The solution should enable the user to track the submitted defect or enhancement request.
12,0000 - cctns,"The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and age- wise."
13,0000 - cctns,The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.
14,0000 - cctns,"An audit trail is a record of actions taken by either the user or the system triggers. This includes actions taken by users or Administrators, or actions initiated automatically by the system as a result of system parameters. The System must keep an unalterable audit trail capable of automatically capturing and storing information about:"
15,0000 - cctns,"Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them."
16,0000 - cctns,"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers."
17,0000 - cctns,"The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system."
18,0000 - cctns,The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System). This functionality can be used by external auditors who wish to examine or analyse system activity.
19,0000 - cctns,"The System must be able to capture and store violations (i.e. A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms."
20,0000 - cctns,The System must at a minimum be able to provide reports for actions on cases organised:
21,0000 - cctns,The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.
22,0000 - cctns,"The requirements specify the requirements to control the user access to correspondences, files, and records and various functionalities provided within the system."
23,0000 - cctns,The System must allow the user to limit access to cases to specified users or user groups.
24,0000 - cctns,The system should provide for role-based control for the functionality within the system
25,0000 - cctns,The System must allow a user to be a member of more than one group.
26,0000 - cctns,The System must allow only admin-users to set up user profiles and allocate users to groups.
27,0000 - cctns,The System should allow a user to stipulate which other users or groups can access cases.
28,0000 - cctns,"The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user."
29,0000 - cctns,"If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time):"
30,0000 - cctns,"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access."
