id,text_a,text_b,are_inconsistent,conflict_description
1,"The system shall store all data locally on the user's device.","All user data must be stored in a cloud-based database.",True,"Conflict between local-only and cloud-only storage requirements."
2,"Users can login with email and password.","Users can also login with their phone number.",False,""
3,"The system shall respond to any request within 1 second.","The system shall validate each request against 5 external APIs before processing.",True,"Calling 5 external APIs will likely exceed the 1-second response time constraint."
4,"The system shall support English and Spanish languages.","The system shall support English, Spanish, and French.",False,""
5,"All user sessions shall expire after 15 minutes of inactivity.","Users shall remain logged in for 24 hours without re-authentication.",True,"15-minute timeout contradicts 24-hour persistent session."
6,"The system shall encrypt data at rest using AES-256.","The system shall also encrypt data in transit using TLS 1.3.",False,""
7,"The system shall be available 99.99% of the time.","The system shall undergo a 4-hour maintenance window every night.",True,"Nightly 4-hour downtime makes 99.99% uptime impossible (allows only 52.6 min/year)."
8,"The search shall return results within 500 milliseconds.","The search shall also check spelling and suggest corrections.",False,""
9,"The system shall retain all logs indefinitely for audit purposes.","The system shall automatically delete all logs older than 30 days to comply with GDPR.",True,"Indefinite retention conflicts with 30-day deletion requirement."
10,"Admin users can create new accounts.","Admin users can also deactivate existing accounts.",False,""
11,"The system shall allow anonymous user access without login.","All system access requires authentication via SSO.",True,"Anonymous access contradicts mandatory SSO authentication."
12,"The system shall support file uploads up to 10MB.","The system shall support file uploads up to 50MB for premium users.",False,""
13,"The system shall use a NoSQL database for all data storage.","All financial transactions must be stored in a relational database with ACID compliance.",True,"NoSQL-only storage conflicts with ACID-compliant relational DB requirement for transactions."
14,"The API shall use JSON format for all requests and responses.","The API shall also support XML format for legacy integrations.",False,""
15,"Passwords shall never be stored in the system.","The system shall compare entered passwords against stored hashes.",True,"Cannot compare against stored hashes if passwords are never stored in any form."
16,"The system shall send email notifications for all events.","The system shall also send push notifications for critical events.",False,""
17,"The application shall run entirely offline without internet.","The system shall validate licenses via an online activation server.",True,"Offline-only operation conflicts with online license validation."
18,"The system shall support pagination with 20 items per page.","The system shall support pagination with 10 or 50 items per page as user preference.",False,""
19,"All data processing shall occur on the client side.","All data shall be validated and processed on the server before storage.",True,"Client-side only processing contradicts server-side processing requirement."
20,"The system shall support both dark and light themes.","The system shall allow users to customize the color scheme.",False,""
21,"The system shall use single sign-on (SSO) as the only authentication method.","The system shall support local username/password authentication for offline scenarios.",True,"SSO-only conflicts with local authentication requirement."
22,"The system shall log all API requests with full request body.","The system shall never log personally identifiable information (PII).",True,"Logging full request bodies will inevitably include PII data."
23,"The system shall support up to 1000 concurrent users.","The system shall support up to 5000 concurrent users during peak hours.",False,""
24,"Users shall be able to export their data in CSV format.","Users shall be able to export their data in CSV and PDF formats.",False,""
25,"The system shall automatically delete inactive accounts after 90 days.","The system shall retain all user data indefinitely for compliance.",True,"Auto-deletion after 90 days conflicts with indefinite data retention."
26,"The system shall enforce MFA for all users.","Guest users shall access the public dashboard without authentication.",True,"Mandatory MFA for all users conflicts with unauthenticated guest access."
27,"The report shall be generated in real-time.","The report shall be generated as a background batch job overnight.",True,"Real-time generation conflicts with overnight batch processing."
28,"The system shall support both metric and imperial units.","The system shall display measurements in metric units only.",True,"Supporting both unit systems conflicts with metric-only display."
29,"The API rate limit shall be 100 requests per minute per user.","Premium users shall have unlimited API access.",False,""
30,"The system shall compress all images before storage.","The system shall store original unmodified images for legal compliance.",True,"Compression modifies images, conflicting with unmodified storage requirement."
