id,text,label,label_binary
1,The system shall refresh the display every 60 seconds.,NF,NF
2,The application shall match the color of the schema set forth by Department of Homeland Security.,NF,NF
3,"If projected requirement changes are so drastic, the developer should break the COTS component up into two parts.",NF,NF
4,The product shall be available during normal business hours.,NF,NF
5,"The system shall provide a contractual, legal-based access point via the Internet.",F,F
6,The product shall be able to be downloaded via the Internet.,NF,NF
7,The system shall have all reports made in a format that allows for importing into Excel.,NF,NF
8,"If projected, the system may be scaled up in the future.",NF,NF
9,The product shall comply with the Americans with Disabilities Act.,NF,NF
10,The system should provide multi-currency handling capability.,F,F
11,The system shall record changes based on timestamp.,F,F
12,The system shall automatically log out users after a period of inactivity.,NF,NF
13,The system shall allow users to search for products by name.,F,F
14,The response time for any request shall not exceed 2 seconds.,NF,NF
15,The system shall encrypt all sensitive data using AES-256.,NF,NF
16,Users shall be able to reset their password via email.,F,F
17,The system shall support at least 1000 concurrent users.,NF,NF
18,"The application shall be compatible with Chrome, Firefox, and Safari.",NF,NF
19,The system shall generate monthly sales reports.,F,F
20,All user interfaces shall be available in English and Spanish.,NF,NF
21,The system shall validate email addresses before registration.,F,F
22,The database shall be backed up daily.,NF,NF
23,The system shall allow administrators to manage user roles.,F,F
24,The application shall load within 3 seconds on a standard connection.,NF,NF
25,The system shall send email notifications for order confirmations.,F,F
26,The system shall maintain 99.9% uptime.,NF,NF
27,Users shall be able to filter search results by category.,F,F
28,The system shall comply with GDPR regulations.,NF,NF
29,The system shall allow users to add items to a shopping cart.,F,F
30,The interface shall be intuitive and easy to navigate.,NF,NF
31,The system shall process credit card payments securely.,F,F
32,The application shall work offline with limited functionality.,NF,NF
33,The system shall display product images in high resolution.,F,F
34,Response time shall be under 1 second for search queries.,NF,NF
35,The system shall track user activity for analytics.,F,F
36,The system shall be accessible to users with visual impairments.,NF,NF
37,Users shall be able to create wishlists.,F,F
38,The system shall handle peak loads during sales events.,NF,NF
39,The system shall allow users to rate and review products.,F,F
40,All communications shall be encrypted using TLS 1.3.,NF,NF
41,The system shall calculate shipping costs automatically.,F,F
42,The application shall be maintainable with documented code.,NF,NF
43,The system shall integrate with third-party payment gateways.,F,F
44,The system shall recover from failures within 5 minutes.,NF,NF
45,Users shall be able to view their order history.,F,F
46,The system shall log all security-related events.,NF,NF
47,The system shall allow bulk product uploads via CSV.,F,F
48,The application shall support mobile devices.,NF,NF
49,The system shall send SMS notifications for delivery updates.,F,F
50,The system shall prevent SQL injection attacks.,NF,NF
51,Users shall be able to compare up to 4 products.,F,F
52,The system shall be scalable to handle growth.,NF,NF
53,The system shall generate invoices automatically.,F,F
54,The interface shall follow WCAG 2.1 guidelines.,NF,NF
55,The system shall allow users to save multiple addresses.,F,F
56,Database queries shall be optimized for performance.,NF,NF
57,The system shall provide real-time inventory updates.,F,F
58,The system shall be portable across different operating systems.,NF,NF
59,Users shall be able to subscribe to product alerts.,F,F
60,The system shall validate all input data.,NF,NF
61,The system shall display personalized product recommendations.,F,F
62,The application shall be usable without training.,NF,NF
63,The system shall process returns and refunds.,F,F
64,The system shall maintain data integrity during transactions.,NF,NF
65,The system shall allow users to export their data.,F,F
66,Error messages shall be clear and helpful.,NF,NF
67,The system shall support multiple payment methods.,F,F
68,The system shall be available 24/7.,NF,NF
69,Users shall be able to track their orders in real-time.,F,F
70,The system shall comply with PCI DSS standards.,NF,NF
71,The system shall allow guest checkout.,F,F
72,Page load time shall not exceed 2 seconds.,NF,NF
73,The system shall manage product categories hierarchically.,F,F
74,The system shall be resistant to DDoS attacks.,NF,NF
75,Users shall receive confirmation emails after purchase.,F,F
76,The system shall support horizontal scaling.,NF,NF
77,The system shall allow coupon code redemption.,F,F
78,All user data shall be stored securely.,NF,NF
79,The system shall calculate taxes based on location.,F,F
80,The system shall have a modular architecture.,NF,NF
81,Users shall be able to share products on social media.,F,F
82,The system shall handle 10000 transactions per hour.,NF,NF
83,The system shall display stock availability.,F,F
84,The interface shall be consistent across all pages.,NF,NF
85,The system shall allow partial order shipments.,F,F
86,Session timeout shall occur after 30 minutes of inactivity.,NF,NF
87,The system shall provide advanced search with filters.,F,F
88,The system shall be easy to update and maintain.,NF,NF
89,Users shall be able to print invoices.,F,F
90,The system shall support multi-language content.,NF,NF
91,The system shall manage customer loyalty points.,F,F
92,API response time shall be under 500ms.,NF,NF
93,The system shall allow scheduling of promotions.,F,F
94,The system shall be documented for developers.,NF,NF
95,Users shall be able to chat with customer support.,F,F
96,The system shall encrypt passwords using bcrypt.,NF,NF
97,The system shall generate sales analytics dashboards.,F,F
98,The application shall be testable with automated tests.,NF,NF
99,The system shall allow product bundling.,F,F
100,The system shall meet ISO 27001 security standards.,NF,NF
101,The system shall manage supplier information.,F,F
102,Memory usage shall not exceed 2GB under normal load.,NF,NF
