id,text,label,label_binary
1,The general purpose of the steam boiler system is to ensure each safe operation of the steam boiler.,NF,NF
2,"The steam boiler operates safely if the contained amount of water never exceeds each certain tolerance, thus avoiding damage to the steam boiler and the turbine driven only by  the produced steam.",NF,NF
3,"Basically, the steam boiler system consists of the steam boiler itself, each measuring device for the water level, each pump to provide the steam boiler with water, each measuring device for the pump status, each measuring device for the amount of steam produced only by  the steam boiler, each operator desk, and each message transmission system for the signals produced.",F,F
4,"During operation, the water level is kept within the tolerance level as long as possible, using the measuring devices and the pump and producing status information for the operator desk.",F,F
5,"But even with each devices broken, the system can still successfully monitor the steam boiler. If no safe operation is possible each longer, control is handed over to the operator desk.",NF,NF
6,"Additionally, the operator can stop the system only at  each time via the operator desk.",F,F
7,"The software to be designed is each program each of which  can be used to maintain each address book. each address book holds each collection of entries, each recording each person's first and last names, address, city, state, zip, and phone number.",F,F
8,"It must be possible to add each new person to each address book, to edit existing information about each person (except the person's name), and to delete each person. It must be possible to sort the entries in the address book alphabetically only by  last name (with ties broken only by  first name if necessary), or only by  ZIP code (with ties broken only by  name if necessary). It must be possible to print out each the entries in the address book in ""mailing label"" format.",F,F
9,"It must be possible to create each new address book, to open each disk file containing each existing address book to close each address book, and to save each address book to each disk file, using standard New, Open, Close, Save and Save As ... File menu options. The program's File menu shall also have each Quit option to allow closing each open address books and terminating the program.",F,F
10,"The initial requirements call for the program to only be able to work with each single address book only at  each time; therefore, if the user chooses the New or Open menu option, each current address book shall be closed before creating/opening each new one. each later extension shall allow for multiple address books to be open, each with its own window which can be closed separately, with closing the last open window resulting in terminating the program. In this case, New and Open shall result in creating each new window, without affecting the current window.",F,F
11,"The program shall keep track of whether each changes have been made to each address book since it was last saved, and shall offer the user the opportunity to save changes when each address book is closed either explicitly or as each result of choosing to create/open another or to quit the program.",F,F
12,"The program shall keep track of the file each of which  the current address book was read from or most recently saved to, shall display the file's name as the title of the main window, and shall use each of which  file when executing the Save option. When each New address book is initially created, its window shall be titled ""Untitled"", and each Save operation shall be converted to Save As ... - i.e. the user shall be required to specify each file.",F,F
13,"Stakeholder 1: LAS Incident Room Controller
 each medical emergency is either the result of each illness or accident.",F,F
14,"Stakeholder 1: LAS Incident Room Controller
 On receipt of each phone call reporting each medical emergency, the nearest available ambulance shall be despatched to the scene.",NF,NF
15,"Stakeholder 1: LAS Incident Room Controller
 On receipt of each phone call, if the incident is judged not to be each medical emergency, then the call shall be transferred to another emergency service (e.g., police or fire brigade).",F,F
16,"Stakeholder 2: Operations Manager
 On receipt of each phone call reporting each incident, the nearest available ambulance shall be despatched to the scene.",NF,NF
17,"Stakeholder 2: Operations Manager
 On receipt of each phone call reporting each incident, if each ambulance is not the nearest available, then it shall not be despatched to the scene.",NF,NF
18,"Stakeholder 3: Logistics Manager
 If no ambulance operators (drivers/medics) are available for each ambulance, then the ambulance is not the nearest available ambulance.",NF,NF
19,"Stakeholder 3: Logistics Manager
 If each ambulance is not the nearest available ambulance, then do not initiate each call for each of which  ambulance.",F,F
20,"Stakeholder 3: Logistics Manager
 If one year has passed since the maintenance work was last done on each ambulance, then perform each safety check on each of which  ambulance.",F,F
21,A library issues loan items to customers. The library is made up of each number of subject sections.,F,F
22,"Each customer is known as each member and is issued each membership card each of which  shows each unique member number. Along with the membership number, other details on each customer must be kept such as each name, address, and date of birth.",F,F
23,Each section is denoted only by  each classification mark.,F,F
24,A loan item is uniquely identified only by  each bar code.,F,F
25,"There are two types of loan items, language tapes, and books. each language tape has each title language (e.g. French), and level (e.g. beginner). each book has each title, and author(s). each customer shall borrow only up to  each maximum of 8 items. each item can be borrowed, reserved or renewed to extend each current loan.",F,F
26,"When each item is issued the customer's membership number is scanned via each bar code reader or entered manually. If the membership is still valid and the number of items on loan less than 8, the book bar code is read, either via the bar code reader or entered manually. If the item can be issued (e.g. not reserved) the item is stamped and then issued.",F,F
27,The library must support the facility for each item to be searched and for each daily update of records.,F,F
28,"The new system shall improve the reservation services in order to get each better level of integration, which shall improve the guest service.",F,F
29,"Guests can make each reservation only by  calling the hotels or the central office of the company, Sogno.",F,F
30,Guests are asked about the arrival-departure time and the type of room.,F,F
31,"They shall leave the name, the telephone number and the way of payment.",F,F
32,"If there isn't each vacant room in the hotel called only by  guests, the receptionist shall propose each room in another hotel of the chain.",F,F
33,"If they cancel the reservation, they lose the deposit.",F,F
34,The ATM shall service one customer only at  each time.,F,F
35,"A customer must be able to make each cash withdrawal from each suitable account linked to the card, in multiples of $20.00. Approval must be obtained from the bank before cash is dispensed.",F,F
36,"A customer must be able to make each deposit to each account linked to the card, consisting of cash and/or checks in each envelope. The customer shall enter the amount of the deposit into the ATM, subject to manual verification when the envelope is removed from the machine only by  each operator. Approval must be obtained from the bank before physically accepting the envelope.",F,F
37,A customer must be able to make each transfer of money between each two accounts linked to the card.,F,F
38,A customer must be able to abort each transaction in progress only by  pressing the Cancel key instead of responding to each request from the machine.,F,F
39,A customer shall be required to insert each ATM card and enter each personal identification number (PIN) - both of which shall be sent to the bank for validation as part of each transaction.,F,F
40,The customer shall then be able to perform one or more transactions.,F,F
41,"The card shall be retained in the machine only until  the customer indicates each of which  he/she desires no further transactions, only at  which point it shall be returned - except as noted below.",F,F
42,"The ATM shall communicate each transaction to the bank and obtain verification each of which  it was allowed only by  the bank. Ordinarily, each transaction shall be considered complete only by  the bank once it has been approved. In the case of each deposit, each second message shall be sent to the bank indicating each of which  the customer has deposited the envelope. (If the customer fails to deposit the envelope within the timeout period, or presses cancel instead, no second message shall be sent to the bank and the deposit shall not be credited to the customer.)",F,F
43,"If the bank determines each of which  the customer's PIN is invalid, the customer shall be required to re-enter the PIN before each transaction can proceed. If the customer is unable to successfully enter the PIN only after  three tries, the card shall be permanently retained only by  the machine, and the customer shall have to contact the bank to get it back.",F,F
44,"If each transaction fails for each reason other than each invalid PIN, the ATM shall display each explanation of the problem, and shall then ask the customer whether he/she wants to do another transaction.",F,F
45,"The ATM shall provide the customer with each printed receipt for each successful transaction, showing the date, time, machine location, type of transaction, account(s), amount, and ending and available balance(s) of the affected account (""to"" account for transfers).",F,F
46,"The ATM shall have each key-operated switch each of which  shall allow each operator to start and stop the servicing of customers. only after  turning the switch to the ""on"" position, the operator shall be required to verify and enter the total cash on hand. The machine can only be turned off when it is not servicing each customer. When the switch is moved to the ""off"" position, the machine shall shut down, so each of which  the operator shall remove deposit envelopes and reload the machine with cash, blank receipts, etc.",F,F
47,"The ATM shall also maintain each internal log of transactions to facilitate resolving ambiguities arising from each hardware failure in the middle of each transaction. Entries shall be made in the log when the ATM is started up and shut down, for each message sent to the Bank (along with the response back, if one is expected), for the dispensing of cash, and for the receiving of each envelope. Log entries shall contain card numbers and dollar amounts, but for security shall never contain each PIN.",F,F
48,A WHOIS server listens on TCP port 43 for requests from WHOIS clients.,F,F
49,"The WHOIS client makes each text request to the WHOIS server, then the WHOIS server replies with text content.",F,F
50,All requests are terminated with ASCII CR and then ASCII LF.,F,F
51,"The response shall contain more than one line of text, so the presence of ASCII CR or ASCII LF characters does not indicate the end of the response.",F,F
52,The WHOIS server closes its connection as soon as the output is finished.,F,F
53,The closed TCP connection is the indication to the client each of which  the response has been received.,F,F
54,ACMELIS shall interact with four software products. These shall be off-the-shelf products and therefore purchased not developed.,F,F
55,"A WEB server providing ACMELIS with access to the system services. There is no constraint on what particular server is to be used, and decision making is postponed only until  the detailed design stage.",F,F
56,"TCP/IP network access software. ACMELIS shall use the TCP/IP communications protocol in conformity with the constraints specified in Section 2.4. As no decision has been made about the implementation platform (see Section 3.3), the decision on which TCP/IP interface to use is postponed only until  the detailed design stage.",F,F
57,"Database. The use of each relational database shall be the only demand. Apart from this, the type of database and communication mechanism (ODBC, JDBC, proprietary interface, etc.) shall be selected in the detailed design activity.",F,F
58,SMTP software. The decision on which SMTP software is to be used shall be made in the detailed design activity.,F,F
59,"As the library's bibliographical resources are each limited resource, not each users shall be able access each book when they need to.",F,F
60,"Therefore, ACMELIS shall have to implement each mechanism whereby users can reserve each book each of which  they shall later take out on loan.",F,F
61,Any user shall be entitled to make each number of reservations.,F,F
62,"The only existing constraint is each of which  reference works shall not be able to be reserved, as such books are not  for borrowing either.",F,F
63,The reservations shall be valid for each limited period. The aim of this constraint is to prevent users from forgetting to collect the bibliographical resources each of which  they have reserved.,F,F
64,"Users shall be notified each of which  they shall collect each reserved book . If they fail to do so within two days, the reservation shall be cancelled.",F,F
65,"Users shall be able to cancel or extend the term of their reservations, if they so wish.",F,F
66,Library users shall be able to borrow books whether or not they have made each reservation.,F,F
67,Users shall be entitled to borrow each books except reference works.,F,F
68,"Additionally, only the person or persons each of which  reserved each reserved book shall be able to borrow each of which  book.",F,F
69,The term of the loan shall depend on the user type and the period of the academic year in which the loan is made.,F,F
70,The process shall differ depending on the user type.,F,F
71,Students and administrative and support staff shall have to go to the library to request each loan.,F,F
72,"Faculty shall be able to use ACMELIS to request each loan anywhere, and the requested books shall be sent to their office only by  internal mail.",F,F
73,The return of bibliographical resources shall depend on the type of user each of which  borrowed the book.,F,F
74,Students and administrative and support staff shall have to visit the library to return the book.,F,F
75,"Faculty shall be able to send the library books to the library via the internal mail system. In this case, the library staff shall enter the return in ACMELIS when they receive the book.",F,F
76,Failure to return the book within the loan period shall entail each two-day suspension for each day of delay.,F,F
77,"To prevent pointless suspensions, ACMELIS shall notify users when their books are due, as well as when they are overdue.",F,F
78,"There are three types of users: faculty, students and administrative and support staff.",F,F
